Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
134.0,-59.45434,-61.146058333333336,-59.00915666666666,-58.92012,1.059466082780773,1.2458239346014308,1.1509897903693502,1.1330057568297214
134.5,-59.45434,-61.48737194444445,-59.246587777777776,-58.92012,1.040512453031299,1.2000533586026205,1.1345425432638667,1.1188453881418692
135.0,-59.45434,-61.59125,-59.45434,-58.949798888888886,1.0315961838470844,1.177358298697759,1.1293300613785078,1.117146710944662
135.5,-59.45434,-61.59125,-59.45434,-59.18723,1.0068265319404264,1.1366951908215377,1.1206399007750476,1.1155350334180403
136.0,-59.45434,-61.59125,-59.45434,-59.424661111111114,1.0000671424982102,1.1132901225425684,1.1282848030315407,1.126857623361755
136.5,-59.66209611111111,-61.59125,-59.45434,-59.45434,0.9934669546085692,1.0836218224960423,1.1126293032650665,1.1061715446226932
137.0,-59.89953166666667,-61.59125,-59.45434,-59.45434,0.9981375247119607,1.0616742336153553,1.1048650762229923,1.0902961945772829
137.5,-59.98857,-61.59125,-59.52853861111112,-59.45434,0.9957596315532202,1.0411331953728125,1.0880963518990059,1.0810777278412012
138.0,-59.98857,-61.59125,-59.52853861111112,-59.45434,0.9930106912528358,1.0315372078799263,1.070656980057475,1.080725626989283
138.5,-59.98857,-61.59125,-59.54337833333334,-59.45434,0.9860085560613766,1.0205901796782453,1.0551386865440702,1.0787404664997364
139.0,-59.98857,-61.59125,-59.78081388888889,-59.45434,0.9643587078119975,0.9877611323654263,1.0343415062083872,1.0638380538446155
139.5,-59.98857,-61.59125,-59.98857,-59.46917972222222,0.9535147384736015,0.9656835433637374,1.022327344894209,1.0539794025675129
140.0,-59.98857,-61.59125,-59.98857,-59.587900000000005,0.9401328027256776,0.9671420145089084,0.9845556403601262,1.0289111300819553
140.5,-59.98857,-61.59125,-59.98857,-59.94405111111111,0.9344337578706318,0.9763431499832492,0.9587476733362772,1.0166359954355053
141.0,-59.98857,-61.59125,-59.98857,-59.98857,0.9197588994753813,0.9625679500563906,0.9358349869199455,1.008851562460425
141.5,-59.98857,-61.59125,-59.98857,-59.98857,0.9136592494846784,0.9524506178853092,0.9266941632838073,1.015662884770786
142.0,-59.98857,-61.59125,-59.98857,-59.98857,0.9203262242076129,0.9441115937791286,0.9248662459278123,1.0252028252340672
