Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-34.02237319946289,-50.04355812072754,-69.49813461303711,-70.25,16.998252182694195,39.16451018472962,0.314579767489818,8.22215898357458
0.5,-34.301002502441406,-50.1828727722168,-69.49813461303711,-70.25,16.85766272239483,38.95837839607817,0.2518653869628906,8.074445960322645
1.0,-34.57963180541992,-50.322187423706055,-69.37220191955566,-70.25,16.717085801060538,38.75232630408165,0.21957115382940137,7.927952030601692
1.5,-34.85826110839844,-50.46150207519531,-69.24626922607422,-70.25,16.576521737700784,38.5463551868113,0.230838440139358,7.782746035380353
2.0,-35.13689041137695,-50.60081672668457,-69.24626922607422,-70.25,16.435970862208308,38.34046634929468,0.20306036675697775,7.654320623629305
2.5,-35.41551971435547,-50.74013137817383,-69.24626922607422,-70.25,16.295433515825884,38.134661124215725,0.2014923095703125,7.52679490745895
3.0,-35.694149017333984,-50.879446029663086,-69.24626922607422,-70.25,16.154910051637234,37.928940872636154,0.20306036675697775,7.414011035960306
3.5,-35.9727783203125,-51.018760681152344,-69.24626922607422,-70.25,16.014400835083563,37.72330698473925,0.230838440139358,7.301374467075749
4.0,-36.251407623291016,-51.1580753326416,-69.24626922607422,-70.25,15.873906244507296,37.51776088059644,0.22667884826660156,7.188892124682592
4.5,-36.53003692626953,-51.29738998413086,-69.24626922607422,-70.25,15.733426671724677,37.31230401095778,0.24677667277108664,7.07657136309063
5.0,-36.80866622924805,-51.43670463562012,-69.24626922607422,-70.125,15.59296252262906,37.10693785806702,0.2014923095703125,6.9490394638862325
5.5,-37.08729553222656,-51.576019287109375,-69.24626922607422,-70.0,15.452514217826772,36.901663936502196,0.2014923095703125,6.822533671293013
6.0,-37.36592483520508,-51.71533393859863,-69.24626922607422,-70.0,15.31208219330767,36.69648379404264,0.2014923095703125,6.710821096820355
