time,OSI-450-CDR
1991-03-16 12:00:00,4.8637500000000005
1991-04-16 00:00:00,7.816249999999999
1991-05-16 12:00:00,11.381875
1991-06-16 00:00:00,13.99
1991-07-16 12:00:00,16.635625
1991-08-16 12:00:00,18.571875
1991-09-16 00:00:00,18.960625
1991-10-16 12:00:00,18.631249999999998
1991-11-16 00:00:00,16.420625
1991-12-16 12:00:00,11.707500000000001
1992-01-16 12:00:00,5.115
1992-02-15 12:00:00,3.1418750000000006
1992-03-16 12:00:00,4.516249999999999
1992-04-16 00:00:00,7.76125
1992-05-16 12:00:00,10.709999999999999
1992-06-16 00:00:00,13.873749999999996
1992-07-16 12:00:00,16.96375
1992-08-16 12:00:00,18.598750000000003
1992-09-16 00:00:00,18.804375
1992-10-16 12:00:00,18.682499999999994
1992-11-16 00:00:00,16.676875
1992-12-16 12:00:00,11.998124999999998
1993-01-16 12:00:00,5.074375
1993-02-15 00:00:00,2.8887500000000004
1993-03-16 12:00:00,4.652500000000001
1993-04-16 00:00:00,7.490625
1993-05-16 12:00:00,10.912500000000001
1993-06-16 00:00:00,14.029375
1993-07-16 12:00:00,16.826874999999998
1993-08-16 12:00:00,18.26125
1993-09-16 00:00:00,19.076249999999995
1993-10-16 12:00:00,18.689375000000002
1993-11-16 00:00:00,16.855625
1993-12-16 12:00:00,11.544999999999998
1994-01-16 12:00:00,5.635625
1994-02-15 00:00:00,3.4318750000000002
1994-03-16 12:00:00,5.421250000000001
1994-04-16 00:00:00,7.9818750000000005
1994-05-16 12:00:00,11.33375
1994-06-16 00:00:00,14.636875000000003
1994-07-16 12:00:00,17.215625
1994-08-16 12:00:00,18.6575
1994-09-16 00:00:00,19.318750000000005
1994-10-16 12:00:00,18.573125
1994-11-16 00:00:00,16.925
1994-12-16 12:00:00,11.18375
1995-01-16 12:00:00,6.24125
1995-02-15 00:00:00,3.82375
1995-03-16 12:00:00,5.296875
1995-04-16 00:00:00,8.07875
