Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-174.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.51325988769531,,-66.3123893737793,-59.45434,-63.56225204467773,-68.0572509765625,-62.195125579833984,-76.25,-77.93268665059959,-78.24672977277984,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-174.0,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.36703109741211,-62.195125579833984,-66.11151885986328,-66.71094131469727,,-66.4128246307373,-59.45434,-63.45094680786133,-68.0572509765625,-62.42656326293945,-76.25,-77.9325267927984,-78.28175188105466,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-173.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.51325988769531,-59.45434,-63.45094680786133,-68.0572509765625,-62.195125579833984,-76.25,-77.93236113604574,-78.23920920671306,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-173.0,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.3123893737793,-59.45434,-63.45094680786133,-68.0572509765625,-62.31084442138672,-76.25,-77.93218972944096,-78.18713093537536,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-172.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-63.33876800537109,-68.0572509765625,-62.195125579833984,-76.25,-77.93201262375807,-78.13505266403767,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-172.0,-62.6025276184082,-59.03745174407959,-61.48637008666992,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.3123893737793,-59.45434,-63.33876800537109,-68.0572509765625,-62.195125579833984,-76.25,-77.93182987143612,-78.08297439269997,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-171.5,-62.6025276184082,-59.217960357666016,-61.2476921081543,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.3123893737793,-59.45434,-63.33876800537109,-68.0572509765625,-62.195125579833984,-76.25,-77.93164152656064,-78.03089612136228,-62.875,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-171.0,-62.6025276184082,-58.85694313049317,-61.2476921081543,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.21195411682129,-59.45434,-63.28267860412598,-68.0572509765625,-62.195125579833984,-76.41666666666666,-77.93144764484497,-78.05871534147764,-62.75,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-170.5,-62.6025276184082,-58.49592590332031,-61.2476921081543,-61.2476921081543,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-63.057007789611816,-68.0572509765625,-62.195125579833984,-76.54761904761905,-77.93124828362446,-78.09135855499598,-62.75,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-170.0,-62.27927970886231,-58.85694313049317,-61.2476921081543,-61.12651252746582,-62.07760620117188,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-62.88654136657715,-68.0572509765625,-62.195125579833984,-76.625,-77.93104305239409,-78.12400176851432,-62.75,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-169.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-61.005332946777344,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-62.88654136657715,-68.0572509765625,-62.195125579833984,-76.75,-77.93083243323075,-78.15642177844748,-62.75,-58.92011642456055,,-59.98857116699219,-59.24658754136827
-169.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-61.005332946777344,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-62.82957172393799,-68.0572509765625,-62.195125579833984,-76.75,-77.93061652676849,-78.18790281999266,-62.5,-58.92011642456055,,-59.98857116699219,-59.18722915649414
-168.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-62.772159576416016,-68.0572509765625,-62.195125579833984,-76.75,-77.93039539701425,-78.21938386153785,-62.625,-58.92011642456055,,-59.98857116699219,-59.18722915649414
-168.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.00553512573242,,-66.21195411682129,-59.45434,-62.65777778625488,-68.0572509765625,-62.07760620117188,-77.0,-77.9301691095071,-78.25086490308303,-62.5,-58.92011642456055,,-59.98857116699219,-59.06851238674588
-167.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-66.90862274169922,,-66.11151885986328,-59.45434,-62.65777778625488,-67.96232100508189,-62.195125579833984,-77.25,-77.92993773119979,-78.24742726748592,-62.75,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-167.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.10244750976562,,-66.21195411682129,-59.45434,-62.60036563873291,-68.05116855806959,-62.195125579833984,-77.25,-77.92970133054885,-78.19094270102944,-63.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-166.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.29627227783203,,-66.11151885986328,-59.45434,-62.60036563873291,-68.0572509765625,-62.195125579833984,-77.25,-77.92945997750228,-78.13445813457295,-62.75,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-166.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.00946807861328,-67.19935989379883,,-66.11151885986328,-59.45434,-62.54295349121094,-68.0572509765625,-62.195125579833984,-77.46744791666666,-77.92921374345939,-78.07797356811648,-62.75,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-165.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.29627227783203,,-66.11151885986328,-59.45434,-62.4272346496582,-67.86740117508413,-62.195125579833984,-77.4109375,-77.9289623043125,-78.02148900166,-62.75,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-165.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.29627227783203,,-66.21195411682129,-59.45434,-62.48509407043457,-67.6775108086471,-62.07760620117188,-77.5,-77.92870610992104,-78.00228858136528,-62.5,-58.712360594007706,,-59.98857116699219,-58.92011642456055
-164.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.29627227783203,,-66.11151885986328,-59.45434,-62.54295349121094,-67.86731425017274,-62.195125579833984,-77.55555555555556,-77.92844527007914,-78.03133406294326,-62.5,-58.47492535909017,,-59.98857116699219,-58.92011642456055
-164.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.29627227783203,,-66.11151885986328,-59.45434,-62.4272346496582,-68.05720461660975,-62.195125579833984,-77.54166666666667,-77.92817986205912,-78.06037954452124,-62.5,-58.385887145996094,,-59.98857116699219,-58.92011642456055
-163.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-62.195125579833984,-66.11151885986328,-67.29627227783203,,-66.11151885986328,-59.45434,-62.31151580810547,-67.96232969750673,-62.195125579833984,-77.51923076923077,-77.92790996446406,-78.08942502609922,-62.5,-58.385887145996094,,-59.98857116699219,-58.92011642456055
