Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-174.5,-65.90741729736328,-72.72644927536231,-60.78990936279297,-66.3123893737793,-77.37917975642756,-75.60338251558463,-75.31053859019917,-67.1021728515625,-63.4510383605957,-64.0,-63.89452362060547,-59.98857,-61.005332946777344,-68.42107710572996,-60.01825035942925,-58.11877250671387,-75.31949652419073,-59.217960357666016,-62.27927970886231,-61.06673240661621,-68.42113527769517,-71.81153269165372,-57.00099563598633,-71.19047187839841,-61.005332946777344,-65.90741729736328
-174.0,-65.90741729736328,-72.72554347826087,-60.78990936279297,-66.10990333557129,-77.41470566863602,-75.86257738024713,-75.38620893157486,-67.1021728515625,-63.56277656555176,-64.0,-63.672780990600586,-59.88469194444445,-61.24585151672363,-68.32887718565163,-60.09244834052192,-58.01489459143745,-75.21057891845703,-59.217960357666016,-62.44090366363525,-61.00602722167969,-68.6012466370266,-71.88251243530064,-57.00099563598633,-71.24656252593672,-60.88415336608887,-65.90741729736328
-173.5,-66.3123893737793,-72.72463768115941,-60.78990936279297,-65.90741729736328,-77.4962326405329,-76.29241667399084,-75.46187927295054,-67.1021728515625,-63.67451477050781,-63.875,-63.4510383605957,-59.765974166666666,-61.48637008666992,-68.23669951313472,-60.21116511027019,-57.89617697397868,-75.14458184809982,-59.217960357666016,-62.6025276184082,-61.06627082824707,-68.78117129238967,-71.9534919548445,-57.00099563598633,-71.30265317347502,-60.76297378540039,-65.90741729736328
-173.0,-66.21195411682129,-72.72373188405797,-60.7157113817003,-65.90416526794434,-77.58047520383977,-76.75750870370165,-75.53754961432622,-67.19905662536621,-63.67451477050781,-64.0,-63.4510383605957,-59.721455000000006,-61.48637008666992,-68.3274764560559,-60.25568389892578,-57.85165786743164,-75.07858477774263,-59.217960357666016,-62.6025276184082,-61.12628364562988,-68.87197875184127,-72.02446026015929,-57.00099563598633,-71.35874382101335,-60.76297378540039,-66.00946807861328
-172.5,-66.11151885986328,-72.72282608695652,-60.59699461195204,-65.90091323852539,-77.66451695603104,-76.95311270586429,-75.61321995570192,-67.34457206726074,-63.67451477050781,-63.875,-63.4510383605957,-59.721455000000006,-61.48637008666992,-68.41825269944994,-60.25568389892578,-57.85165786743164,-75.01258770738542,-59.217960357666016,-62.6025276184082,-60.82391166687012,-68.96292827464853,-72.08315520153049,-57.00099563598633,-71.73218970163393,-60.76297378540039,-66.11151885986328
-172.0,-66.10990333557129,-72.72463768115941,-60.522796630859375,-65.90091323852539,-77.68825380831777,-77.08176254924447,-75.6888902970776,-67.39320373535156,-63.4510383605957,-63.75,-63.33930015563965,-59.721455000000006,-61.24585151672363,-68.50759701073883,-60.25568389892578,-57.89617697397868,-74.94659063702822,-59.217960357666016,-62.6025276184082,-60.6406364440918,-69.13747301961786,-72.08411454491718,-57.00099563598633,-71.80273346252748,-60.76297378540039,-66.00946807861328
-171.5,-66.11151885986328,-72.731884057971,-60.522796630859375,-65.90091323852539,-77.70216304890911,-77.14852311978731,-75.75618777674697,-67.39358901977539,-63.2275619506836,-63.625,-63.2275619506836,-59.721455000000006,-61.005332946777344,-68.59685419493681,-60.25568389892578,-58.01489459143745,-74.81453091154158,-59.217960357666016,-62.6025276184082,-60.5178337097168,-69.13872386771828,-72.08647262063353,-57.00099563598633,-71.86995856165345,-60.76297378540039,-65.90741729736328
-171.0,-66.21195411682129,-72.7391304347826,-60.522796630859375,-65.90091323852539,-77.65870738002548,-76.97599192989263,-75.78687497973303,-67.29748916625977,-63.2275619506836,-63.5,-63.00057601928711,-59.70661527777778,-61.005332946777344,-68.68913735151527,-60.25568389892578,-58.11877250671387,-74.68246715366436,-59.217960357666016,-62.6025276184082,-60.5792350769043,-69.22530357176433,-72.1673106152264,-57.00099563598633,-71.8775965247948,-60.76297378540039,-66.00785255432129
-170.5,-66.3123893737793,-72.74637681159419,-60.522796630859375,-65.90091323852539,-77.62355254152638,-76.95235204640832,-75.81756218271909,-67.05471420288086,-63.2275619506836,-63.375,-62.77359008789063,-59.5878975,-61.005332946777344,-68.78140643081778,-60.25568389892578,-58.11877250671387,-74.68689966407689,-59.217960357666016,-62.6025276184082,-60.701805114746094,-69.31191727540886,-72.20768484692533,-57.00099563598633,-72.02283870579957,-60.76297378540039,-66.1082878112793
-170.0,-66.3123893737793,-72.75362318840581,-60.522796630859375,-66.00460052490234,-77.61061857938617,-76.95214780346836,-75.85010964934341,-67.00608253479004,-63.11406898498535,-63.25,-62.77359008789063,-59.46917972222222,-60.88415336608887,-68.78144266956872,-60.25568389892578,-58.11877250671387,-74.6913446722402,-59.217960357666016,-62.6025276184082,-60.88461685180664,-69.48651319389245,-71.68396978035427,-57.00099563598633,-72.57006598256338,-60.516897201538086,-66.10344123840332
-169.5,-66.51325988769531,-72.7608695652174,-60.522796630859375,-66.1082878112793,-77.63760446032114,-76.95193819854097,-76.03687548579111,-67.0523681640625,-63.00057601928711,-63.25,-62.77359008789063,-59.45434,-60.76297378540039,-68.78146483055004,-60.25568389892578,-58.11877250671387,-74.62535569731716,-59.217960357666016,-62.6025276184082,-61.00602722167969,-69.66110167710917,-71.19358773388993,-56.7509994506836,-72.71409033849024,-60.27082061767578,-66.09859466552734
-169.0,-66.4128246307373,-72.768115942029,-60.522796630859375,-65.90416526794434,-77.75229075021016,-77.01529469140098,-76.0265449179092,-66.95431709289551,-62.88708305358887,-63.25,-62.65832233428955,-59.45434,-60.76297378540039,-69.51275465651318,-60.25568389892578,-58.11877250671387,-74.55935812344612,-59.39478015899658,-62.6025276184082,-61.06673240661621,-69.83300818868264,-71.20237603325026,-56.50100326538086,-72.7151067069714,-60.27082061767578,-65.6935806274414
-168.5,-66.3123893737793,-72.77536231884059,-60.522796630859375,-65.70004272460938,-77.74115934689362,-77.31793062329196,-76.0162143500273,-66.80958557128906,-62.77359008789063,-63.25,-62.54305458068848,-59.45434,-60.76297378540039,-69.66085472789875,-60.25568389892578,-58.11877250671387,-74.49336054957507,-59.217960357666016,-62.6025276184082,-61.06673240661621,-70.00375724751542,-71.21116414039513,-56.50100326538086,-72.71611912255311,-60.27082061767578,-65.28856658935547
