Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-174.0,-62.6025276184082,-59.217960357666016,-61.960086822509766,-61.72504806518555,-64.43910217285156,-69.6645192379286,-72.457564890475,,-71.40582701685452,-59.98857,-68.83978652954102,-71.50509643554688,-65.49594116210938,-72.08201095036098,-76.10017680377516,-78.26248642469898,-63.5,-58.92011642456055,,-60.19632551405165,-59.98857116699219
-173.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.72504806518555,-64.43910217285156,-69.49243950633182,-72.36304709562651,,-71.1653443253148,-59.98857,-68.74772262573242,-71.58310008234182,-65.28856658935547,-72.07738095238095,-76.75767911890485,-78.21501225536761,-63.5,-58.92011642456055,,-60.25568389892578,-59.98857116699219
-173.0,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.72504806518555,-64.43910217285156,-69.66318851045054,-72.48505497601548,,-71.3769288872764,-59.98857,-68.56359672546387,-71.65076397977114,-65.28856658935547,-72.08869047619048,-76.75750870370165,-78.13576232729909,-63.5,-58.92011642456055,,-60.18148591783312,-59.98857116699219
-172.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.72504806518555,-64.43910217285156,-69.49301443781016,-72.56123930389288,,-71.42605123125958,-59.98857,-68.51756286621094,-71.50509643554688,-65.28856658935547,-72.1,-76.75733262238333,-78.05651239923057,-63.625,-58.92011642456055,,-60.06276914808485,-59.98857116699219
-172.0,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.48637008666992,-64.43910217285156,-69.6661054551708,-72.64850746080907,,-71.36356518032272,-59.98857,-68.51756286621094,-71.50509151428065,-65.28856658935547,-72.11130952380952,-76.75715092708568,-78.03756737106661,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-171.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.43910217285156,-69.82461418046054,-73.00357306402638,,-71.3673825148096,-59.98857,-68.51756286621094,-71.50509643554688,-65.28856658935547,-72.12261904761905,-76.75696367158133,-78.028449954598,-63.625,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-171.0,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.43910217285156,-69.66632444401051,-73.02631160142211,,-71.26023103520555,-59.973730277777776,-68.47153282165527,-71.4998581207586,-65.28856658935547,-72.13392857142857,-76.92910896531833,-77.97561865796649,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-170.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.43910217285156,-69.81488150992146,-73.29596973012353,,-71.57073994677093,-59.8550125,-68.42550086975098,-71.34122444817669,-65.28856658935547,-72.14447004608294,-77.14813138968698,-77.92014803604843,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-170.0,-62.6025276184082,-59.217960357666016,-61.60570907592773,-61.2476921081543,-64.32868766784668,-69.80620151410076,-73.29741464099534,,-71.64389571882464,-59.973730277777776,-68.51756286621094,-71.50506590853925,-65.28856658935547,-72.14848310291859,-77.12786190571371,-77.95390688857026,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-169.5,-62.6025276184082,-59.217960357666016,-61.48637008666992,-61.2476921081543,-64.43910217285156,-69.83918036528142,-73.30573360436247,,-71.79475350896735,-59.88469194444445,-68.19534683227539,-71.25313939552947,-65.28856658935547,-72.15249615975422,-77.14771713910179,-77.99391212014727,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
