Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-168.0,-62.191524505615234,-76.75,-60.44859864976671,-62.42656326293945,-78.25086490308303,-77.9301691095071,-78.25086490308303,-61.78403663635254,-62.31251907348633,-62.0,-62.31251907348633,-59.38014277777778,-60.76297378540039,-65.28691101074219,-59.45434188842773,-58.385887145996094,-68.79261140119857,-59.217960357666016,-61.956031799316406,-61.005332946777344,-65.70331573486328,-67.29462051391602,-55.00102615356445,-66.41123008728027,-60.76297378540039,-62.65800094604492
-167.5,-62.191524505615234,-76.75,-60.522796630859375,-62.42656326293945,-78.24742726748592,-77.92993773119979,-78.24742726748592,-61.72482299804688,-62.31251907348633,-62.0,-62.31251907348633,-59.45434,-60.76297378540039,-65.49594116210938,-59.45434188842773,-58.385887145996094,-68.7926254272461,-59.217960357666016,-61.956031799316406,-61.06627082824707,-65.70331573486328,-67.29627227783203,-55.00102615356445,-66.51007080078125,-60.76297378540039,-62.65800094604492
-167.0,-62.0758056640625,-77.125,-60.522796630859375,-62.19332504272461,-78.19094270102944,-77.92970133054885,-78.19094270102944,-61.72482299804688,-62.31251907348633,-62.0,-62.31251907348633,-59.45434,-60.76297378540039,-65.39059829711914,-59.45434188842773,-58.385887145996094,-68.7926254272461,-59.217960357666016,-62.11765575408936,-61.1269760131836,-65.70331573486328,-67.48528578206641,-55.00102615356445,-66.60698318481445,-60.76297378540039,-62.65800094604492
-166.5,-61.960086822509766,-77.25,-60.522796630859375,-61.960086822509766,-78.13445813457295,-77.92945997750228,-78.13445813457295,-61.72482299804688,-62.31251907348633,-62.0,-62.31251907348633,-59.45434,-60.76297378540039,-65.2852554321289,-59.4395022922092,-58.385887145996094,-68.7926254272461,-59.217960357666016,-62.6025276184082,-61.1269760131836,-65.70331573486328,-67.4867935180664,-55.00102615356445,-66.70389556884766,-60.76297378540039,-62.65800094604492
-166.0,-61.960086822509766,-77.24038461538461,-60.522796630859375,-62.07760620117188,-78.07797356811648,-77.92921374345939,-78.07797356811648,-61.72482299804688,-62.19545555114746,-62.0,-62.31251907348633,-59.45434,-60.63993549346924,-65.2852554321289,-59.32078552246094,-58.385887145996094,-68.7926254272461,-59.217960357666016,-62.11765575408936,-61.005332946777344,-65.80536651611328,-67.58205795288086,-55.00102615356445,-66.79915809631348,-60.76297378540039,-62.54228210449219
-165.5,-61.960086822509766,-77.25,-60.522796630859375,-62.195125579833984,-78.02148900166,-77.9289623043125,-78.02148900166,-61.66560935974121,-62.078392028808594,-62.0,-62.31251907348633,-59.45434,-60.516897201538086,-65.2852554321289,-59.20206875271268,-58.385887145996094,-68.88158355455847,-59.217960357666016,-61.956031799316406,-61.06627082824707,-65.90741729736328,-67.67732238769531,-54.7510290145874,-66.8944206237793,-60.76297378540039,-62.42656326293945
-165.0,-61.960086822509766,-77.25,-60.522796630859375,-62.31084442138672,-78.00228858136528,-77.92870610992104,-78.00228858136528,-61.60639572143555,-62.078392028808594,-62.0,-62.078392028808594,-59.45434,-60.39385890960693,-65.39059829711914,-59.18722915649414,-58.385887145996094,-68.97056068943752,-59.217960357666016,-61.956031799316406,-61.06627082824707,-65.90741729736328,-67.58205986022949,-54.50103187561035,-66.8944206237793,-60.63993549346924,-62.54228210449219
-164.5,-61.960086822509766,-77.25,-60.522796630859375,-62.42656326293945,-78.03133406294326,-77.92844527007914,-78.03133406294326,-61.60639572143555,-62.078392028808594,-62.0,-61.84426498413086,-59.45434,-60.27082061767578,-65.49594116210938,-59.18722915649414,-58.385887145996094,-69.05953782431655,-59.217960357666016,-61.956031799316406,-61.1269760131836,-65.90741729736328,-67.48679733276367,-54.50103187561035,-66.8944206237793,-60.516897201538086,-62.65800094604492
-164.0,-61.960086822509766,-77.30882352941177,-60.522796630859375,-62.31084442138672,-78.06037954452124,-77.92817986205912,-78.06037954452124,-61.60639572143555,-62.078392028808594,-62.0,-61.84426498413086,-59.38014277777778,-60.27082061767578,-65.59799194335938,-59.18722915649414,-58.385887145996094,-69.14851495919558,-59.217960357666016,-61.956031799316406,-61.12628364562988,-66.00785255432129,-67.48679733276367,-54.50103187561035,-66.8944206237793,-60.39385890960693,-62.771939277648926
-163.5,-61.960086822509766,-77.29411764705883,-60.522796630859375,-62.195125579833984,-78.08942502609922,-77.92790996446406,-78.08942502609922,-61.54672622680664,-62.078392028808594,-62.0,-61.84426498413086,-59.261427222222224,-60.27082061767578,-65.70004272460938,-59.18722915649414,-58.385887145996094,-69.29204329962384,-59.217960357666016,-61.956031799316406,-61.06534576416016,-66.1082878112793,-67.48679733276367,-54.50103187561035,-66.8944206237793,-60.27082061767578,-62.88587760925293
-163.0,-62.19332504272461,-77.27941176470588,-60.522796630859375,-62.195125579833984,-78.11775630080277,-77.92763565724478,-78.11775630080277,-61.42738723754883,-62.078392028808594,-62.0,-61.84426498413086,-59.18723,-60.27082061767578,-65.70004272460938,-59.18722915649414,-58.385887145996094,-69.84891128540039,-59.217960357666016,-61.956031799316406,-61.06534576416016,-66.1082878112793,-67.39153480529785,-54.50103187561035,-66.9948558807373,-60.27082061767578,-62.88587760925293
-162.5,-62.42656326293945,-77.26470588235294,-60.522796630859375,-62.195125579833984,-78.14556404403076,-77.92735702164632,-78.14556404403076,-61.42738723754883,-62.078392028808594,-61.75,-61.84426498413086,-59.18723,-60.27082061767578,-65.70004272460938,-59.18722915649414,-58.385887145996094,-69.84891128540039,-59.217960357666016,-61.956031799316406,-61.00417709350586,-66.1082878112793,-67.29627227783203,-54.50103187561035,-67.09529113769531,-60.27082061767578,-62.88587760925293
-162.0,-62.42656326293945,-77.24038461538461,-60.49311743842231,-62.31084442138672,-78.17337178725877,-77.92707414006455,-78.17337178725877,-61.48705673217773,-62.078392028808594,-61.5,-61.84426498413086,-59.18723,-60.0209846496582,-65.70004272460938,-59.18722915649414,-58.41556655036079,-69.84891128540039,-59.217960357666016,-61.956031799316406,-61.00417709350586,-66.2103385925293,-67.19935989379883,-54.50103187561035,-67.09529113769531,-60.14590263366699,-62.88587760925293
