Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-169.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.22166442871094,-65.28856658935547,,-64.00422668457031,-59.45434,-60.76274299621582,-65.70331573486328,-60.76297378540039,-75.375,-77.93061652676849,-78.18790281999266,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-168.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.22166442871094,-65.28856658935547,,-64.00422668457031,-59.45434,-60.6406364440918,-65.70331573486328,-60.76297378540039,-75.25,-77.93039539701425,-78.21938386153785,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-168.0,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.22166442871094,-65.28856658935547,,-64.00422668457031,-59.45434,-60.6406364440918,-65.70331573486328,-60.76297378540039,-75.5,-77.9301691095071,-78.25086490308303,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-167.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.45434,-60.6406364440918,-65.70331573486328,-60.76297378540039,-75.75,-77.92993773119979,-78.24742726748592,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-167.0,-61.78682804107666,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.11294555664062,-65.28856658935547,,-64.00422668457031,-59.45434,-60.6406364440918,-65.70331573486328,-60.76297378540039,-75.75,-77.92970133054885,-78.19094270102944,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-166.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.45434,-60.6406364440918,-65.70331573486328,-60.76297378540039,-75.75,-77.92945997750228,-78.13445813457295,-62.0,-58.890437020195854,,-59.98857116699219,-58.92011642456055
-166.0,-61.45979022979736,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.45434,-60.51759910583496,-65.70331573486328,-60.76297378540039,-75.75,-77.92921374345939,-78.07797356811648,-62.0,-58.65300178527832,,-59.98857116699219,-58.92011642456055
-165.5,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.45434,-60.394561767578125,-65.70331573486328,-60.76297378540039,-75.75,-77.9289623043125,-78.02148900166,-62.0,-58.41556655036079,,-59.98857116699219,-58.92011642456055
-165.0,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.45434,-60.394561767578125,-65.70331573486328,-60.76297378540039,-75.75,-77.92870610992104,-78.00228858136528,-62.0,-58.593642976548935,,-59.98857116699219,-58.92011642456055
-164.5,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.45434,-60.394561767578125,-65.70331573486328,-60.76297378540039,-75.75,-77.92844527007914,-78.03133406294326,-62.0,-58.47492535909017,,-59.98857116699219,-58.92011642456055
-164.0,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.11294555664062,-65.28856658935547,,-64.00422668457031,-59.38014277777778,-60.394561767578125,-65.70331573486328,-60.88415336608887,-76.0,-77.92817986205912,-78.06037954452124,-62.0,-58.385887145996094,,-59.98857116699219,-58.92011642456055
-163.5,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.38014277777778,-60.394561767578125,-65.70331573486328,-60.76297378540039,-76.25,-77.92790996446406,-78.08942502609922,-62.0,-58.385887145996094,,-59.98857116699219,-58.92011642456055
-163.0,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.36530333333334,-60.270586013793945,-65.70331573486328,-60.88415336608887,-76.25,-77.92763565724478,-78.11775630080277,-62.0,-58.385887145996094,,-59.89953295389811,-58.83107821146647
