Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-174.5,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.65800094604492,-65.70331573486328,-75.2591083282895,-75.94835743656722,,-75.4300421995881,-61.05702,-75.14798227945963,-75.0191473860942,-68.42109680583229,,-77.72282398734424,-76.39344404309888,-66.0,-59.45434188842773,,-61.591251373291016,-61.086701499091255
-174.0,-63.2335090637207,-59.217960357666016,-62.42656326293945,-62.42656326293945,-65.49594116210938,-75.12434562256345,-76.01205722968061,,-75.43414080749423,-61.05702,-75.14606475830078,-74.95533752441406,-68.42111587902758,,-77.65166215254524,-76.37164002767017,-66.0,-59.45434188842773,,-61.383495542738174,-61.05702209472656
-173.5,-63.2335090637207,-59.217960357666016,-62.195125579833984,-62.195125579833984,-65.28856658935547,-75.28166813711508,-76.01363051756724,,-75.49761089688751,-61.05702,-75.14606475830078,-74.95533752441406,-68.42116819084285,,-77.66734408622783,-76.34983601224145,-66.0,-59.45434188842773,,-61.14606030782064,-61.05702209472656
-173.0,-63.2335090637207,-59.217960357666016,-62.195125579833984,-62.195125579833984,-65.28856658935547,-75.3444298225541,-76.1855741052038,,-75.5695628786143,-61.05702,-75.19209480285645,-74.95533752441406,-68.60257457240975,,-77.63960413566961,-76.32803199681273,-66.0,-59.45434188842773,,-61.05702209472656,-61.05702209472656
-172.5,-63.2335090637207,-59.217960357666016,-62.195125579833984,-62.195125579833984,-65.28856658935547,-75.39744674890767,-76.19443851233657,,-75.5694717404536,-61.05702,-75.00797080993652,-74.94249253686496,-68.78417207673164,,-77.69781781239296,-76.30622798138401,-66.0,-59.45434188842773,,-61.05702209472656,-61.05702209472656
-172.0,-63.22590255737305,-59.217960357666016,-62.195125579833984,-61.960086822509766,-65.077880859375,-75.36710167123402,-76.19471799115605,,-75.63426590054735,-60.967983333333336,-75.05400085449219,-74.95533349627256,-68.60277271627322,,-77.66952623484342,-76.28442396595528,-66.0,-59.45434188842773,,-61.05702209472656,-61.01250330607097
-171.5,-63.2335090637207,-59.217960357666016,-62.195125579833984,-61.72504806518555,-64.86719512939453,-75.37104457900253,-76.27479835576213,,-75.70527614429346,-60.73055222222222,-75.14606285095215,-74.6869499501884,-68.78416528085748,,-77.59524000516639,-76.26261995052657,-66.0,-59.45434188842773,,-61.05702209472656,-60.8937865363227
-171.0,-63.07576370239258,-59.217960357666016,-62.195125579833984,-61.72504806518555,-64.86719512939453,-75.37731623259921,-76.32699771669223,,-75.70898138052578,-60.5228,-75.14606475830078,-74.69135729926825,-68.60281954194699,,-77.58787292659821,-76.24081593509786,-66.0,-59.45434188842773,,-61.05702209472656,-60.77506976657443
-170.5,-63.2335090637207,-59.217960357666016,-62.195125579833984,-61.72504806518555,-64.86719512939453,-75.41140870217447,-76.3851669185775,,-75.65817137326992,-60.5228,-75.00797080993652,-74.55936315855385,-68.78423947415696,,-77.62307859986514,-76.21901191966913,-66.0,-59.45434188842773,,-61.05702209472656,-60.65635299682617
-170.0,-63.2335090637207,-59.217960357666016,-61.960086822509766,-61.72504806518555,-64.75849151611328,-75.39702295134884,-76.45388666526465,,-75.71604242643758,-60.5228,-75.00796890258789,-74.42736901783944,-68.60286741066933,,-77.60439379673318,-76.19720790424041,-66.0,-59.45434188842773,,-61.05702209472656,-60.53763622707791
