time,OSI-450-CDR
1,5.555451388888889
2,3.3974479166666667
3,4.755607142857143
4,7.767339285714286
5,11.198892857142857
6,14.37173611111111
7,16.85090277777778
8,18.56609375
9,19.268315972222222
10,18.786527777777778
11,16.74076388888889
12,11.963003472222221
