Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-174.5,-61.72140884399414,-73.75,-60.522796630859375,-60.0209846496582,-78.24672977277984,-77.93268665059959,-78.24672977277984,-61.24746131896973,-62.54305458068848,-61.5,-63.2275619506836,-59.18723,-61.2476921081543,-63.56246948242188,-59.4395022922092,-58.65300178527832,-65.80455798155023,-59.217960357666016,-61.62520408630371,-61.06673240661621,-64.65314865112305,-64.22166442871094,-55.00102615356445,-64.43910217285156,-61.2476921081543,-62.42656326293945
-174.0,-61.72140884399414,-74.0,-60.522796630859375,-60.0209846496582,-78.28175188105466,-77.9325267927984,-78.28175188105466,-61.06661605834961,-62.4277868270874,-61.5,-63.2275619506836,-59.18723,-61.36703109741211,-63.56246948242188,-59.45434188842773,-58.65300178527832,-65.70331573486328,-59.217960357666016,-61.79061794281006,-61.1269760131836,-64.5461254119873,-64.11294555664062,-55.00102615356445,-64.43910217285156,-61.12651252746582,-62.42656326293945
-173.5,-61.72140884399414,-74.25,-60.522796630859375,-60.0209846496582,-78.23920920671306,-77.93236113604574,-78.23920920671306,-60.945438385009766,-62.31251907348633,-61.5,-63.2275619506836,-59.18723,-61.2476921081543,-63.56246948242188,-59.45434188842773,-58.65300178527832,-65.80455720914497,-59.217960357666016,-61.956031799316406,-61.1269760131836,-64.43910217285156,-64.00422668457031,-55.00102615356445,-64.43910217285156,-61.005332946777344,-62.42656326293945
-173.0,-61.72140884399414,-74.375,-60.522796630859375,-59.89606666564941,-78.18713093537536,-77.93218972944096,-78.18713093537536,-60.76274299621582,-62.31251907348633,-61.5,-63.11406898498535,-59.18723,-61.12651252746582,-63.56246948242188,-59.45434188842773,-58.57880327436659,-65.9057986834267,-59.217960357666016,-61.956031799316406,-60.88484954833984,-64.43910217285156,-64.00422668457031,-55.00102615356445,-64.43910217285156,-60.88415336608887,-62.31084442138672
-172.5,-61.72140884399414,-74.5,-60.522796630859375,-59.77114868164063,-78.13505266403767,-77.93201262375807,-78.13505266403767,-60.6406364440918,-62.31251907348633,-61.5,-63.00057601928711,-59.18723,-61.005332946777344,-63.56246948242188,-59.45434188842773,-58.46008565690782,-66.00704015770839,-59.217960357666016,-61.956031799316406,-60.640403747558594,-64.43910217285156,-64.00422668457031,-54.7510290145874,-64.43910217285156,-60.76297378540039,-62.195125579833984
-172.0,-61.60388946533203,-74.625,-60.522796630859375,-59.77114868164063,-78.08297439269997,-77.93182987143612,-78.08297439269997,-60.6406364440918,-62.31251907348633,-61.5,-63.00057601928711,-59.14271166666667,-60.88415336608887,-63.56246948242188,-59.45434188842773,-58.430406252543136,-66.1082816319901,-59.217960357666016,-61.956031799316406,-60.5792350769043,-64.43910217285156,-63.8937873840332,-54.50103187561035,-64.43910217285156,-60.63993549346924,-62.195125579833984
-171.5,-61.48637008666992,-74.75,-60.522796630859375,-59.77114868164063,-78.03089612136228,-77.93164152656064,-78.03089612136228,-60.51759910583496,-62.31251907348633,-61.5,-63.00057601928711,-59.02399611111111,-60.76297378540039,-63.56246948242188,-59.45434188842773,-58.5491238700019,-66.2095231062718,-59.217960357666016,-61.956031799316406,-60.5792350769043,-64.43910217285156,-63.783348083496094,-54.50103187561035,-64.43910217285156,-60.516897201538086,-62.195125579833984
-171.0,-61.48637008666992,-74.75,-60.522796630859375,-59.77114868164063,-78.05871534147764,-77.93144764484497,-78.05871534147764,-60.394561767578125,-62.31251907348633,-61.5,-62.88708305358887,-58.92012,-60.76297378540039,-63.56246948242188,-59.45434188842773,-58.63816208309598,-66.3107645805535,-59.217960357666016,-61.78682804107666,-60.6406364440918,-64.33038330078125,-63.783348083496094,-54.50103187561035,-64.43910217285156,-60.39385890960693,-62.195125579833984
-170.5,-61.48637008666992,-74.75,-60.522796630859375,-59.77114868164063,-78.09135855499598,-77.93124828362446,-78.09135855499598,-60.33257389068604,-62.31251907348633,-61.5,-62.77359008789063,-58.92012,-60.76297378540039,-63.56246948242188,-59.45434188842773,-58.51944446563721,-66.4120060548352,-59.217960357666016,-61.294376373291016,-60.701805114746094,-64.43910217285156,-63.783348083496094,-54.50103187561035,-64.43910217285156,-60.27082061767578,-62.195125579833984
-170.0,-61.48637008666992,-74.875,-60.522796630859375,-59.77114868164063,-78.12400176851432,-77.93104305239409,-78.12400176851432,-60.208598136901855,-62.19545555114746,-61.5,-62.54305458068848,-58.92012,-60.63993549346924,-63.56246948242188,-59.45434188842773,-58.40072684817844,-66.51324752911691,-59.217960357666016,-61.45979022979736,-60.88461685180664,-64.33038330078125,-63.56072998046875,-54.50103187561035,-64.33038330078125,-60.27082061767578,-62.195125579833984
